Timestep	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
1	17658.3	26574.4	31076.1	62488.6	73244.3	14424.3	6832.75	9165.73	162395	59289.6	57451.8	31226.5	140458	26852.4	20767.6	77429.5	25472.7	91006.2	30161.7	40443.8	64711.1	6946.7	8670.26	7010.37	4811.36	28186.3	20196.2	18513.9	21139	20093	18164	17315.4	22325.1	22790.1	22010.7	398.18	9747.19	9747.19	9747.19	7738.93	5616.26	0	0	5795.36	601.987	3293.31	0.204994	0.204994	0	0	0	0	0
2	17190.6	26060.9	30494.2	61281.1	71872.6	13968.5	6702.24	8990.66	159353	58034.8	56089	30630	137775	26012.8	20118.3	75979.5	24986.1	89267.9	29459.5	39484.4	63326.4	6814.02	8399.17	6791.18	4660.93	27305	19564.8	17935	20478.1	19346.3	17489	16671.9	21495.4	21943.1	21192.7	389.753	9384.94	9384.94	9384.94	7451.32	5407.54	0	0	5684.66	587.707	3215.19	0.195606	0.195606	0	0	0	0	0
3	16722.9	25547.4	29912.2	60073.6	70501	13512.6	6571.74	8815.59	156312	56780.1	54726.1	30033.6	135092	25173.2	19469	74529.5	24499.6	87529.7	28757.4	38525	61941.7	6681.33	8128.09	6571.99	4510.5	26423.8	18933.3	17356.2	19817.2	18599.5	16813.9	16028.4	20665.7	21096.1	20374.7	381.326	9022.7	9022.7	9022.7	7163.71	5198.81	0	0	5573.97	573.427	3137.06	0.186219	0.186219	0	0	0	0	0
4	16956.7	25804.2	30203.2	60677.3	71186.8	13740.5	6636.99	8903.12	157833	57407.4	55407.5	30331.8	136434	25593	19793.6	75254.5	24742.9	88398.8	29108.5	39004.7	62634.1	6747.68	8263.63	6681.59	4585.71	26864.4	19249	17645.6	20147.6	18972.9	17151.5	16350.2	21080.6	21519.6	20783.7	385.54	9203.82	9203.82	9203.82	7307.52	5303.17	0	0	5629.32	580.567	3176.13	0.190913	0.190913	0	0	0	0	0
5	17892.1	26831.2	31367.1	63092.3	73930.1	14652.2	6898.01	9253.26	163915	59916.9	58133.2	31524.7	141799	27272.1	21092.3	78154.6	25715.9	91875.3	30512.7	40923.5	65403.4	7013.05	8805.8	7119.96	4886.58	28626.9	20512	18803.3	21469.5	20466.4	18501.6	17637.2	22739.9	23213.6	22419.7	402.393	9928.31	9928.31	9928.31	7882.74	5720.62	0	0	5850.71	609.127	3332.37	0.209687	0.209687	0	0	0	0	0
6	19686	28115	33995.8	66111	80125.8	15791.9	7342.79	9849.91	177652	64056.5	62489.9	33557.4	150943	29802.4	23049.2	84704.3	27374.1	97799.4	33354.7	43990.4	68865.1	7465.25	9622.78	7780.53	5339.94	31282.9	22415	20547.9	23461.4	22656.7	20481.6	19524.7	25173.5	25697.9	24819	430.194	10990.8	10990.8	10990.8	8726.33	6332.83	0	0	6227.96	654.777	3582.11	0.236522	0.236522	0	0	0	0	0
7	23755.2	28628.5	41344.3	67318.5	97445.8	16247.8	8156.46	10941.4	216053	71091.3	69326.4	37276	167669	33128.4	25621.5	103014	30407.5	108637	40320.7	48803	70249.7	8292.49	10696.7	8648.86	5935.89	34774.1	24916.6	22841.1	26079.8	25267.9	22842.1	21774.9	28074.8	28659.5	27679.4	477.439	12257.5	12257.5	12257.5	9732.05	7062.69	0	0	6918.09	726.411	3974	0.265319	0.265319	0	0	0	0	0
8	19686	28524.8	33995.8	67074.8	80125.8	15997.7	7342.79	9849.91	177652	64056.5	62489.9	33557.4	150943	29802.4	23049.2	84704.3	27374.1	97799.4	33354.7	43990.4	70186.4	7465.25	9622.78	7780.53	5339.94	31282.9	22415	20547.9	23461.4	22656.7	20481.6	19524.7	25173.5	25697.9	24819	430.194	10990.8	10990.8	10990.8	8726.33	6332.83	0	0	6227.96	654.777	3582.11	0.236522	0.236522	0	0	0	0	0
9	18359.8	28023.9	31949.1	65896.9	75301.8	15449.2	7028.52	9428.33	166956	61171.7	59496.1	32121.2	144482	28111.7	21741.6	79604.6	26202.5	93613.6	31214.9	41882.9	68109.4	7145.73	9076.89	7339.15	5037.01	29508.2	21143.4	19382.2	22130.4	21213.1	19176.6	18280.7	23569.6	24060.6	23237.7	410.82	10290.6	10290.6	10290.6	8170.35	5929.34	0	0	5961.4	623.407	3410.49	0.219074	0.219074	0	0	0	0	0
10	18827.5	28806.7	32531.1	67737.7	76673.4	16040.4	7159.03	9603.4	169998	62426.4	60858.9	32717.6	147165	28951.3	22390.9	81054.6	26689	95351.9	31917	42842.2	69494	7278.42	9347.97	7558.33	5187.44	30389.5	21774.9	19961	22791.4	21959.9	19851.7	18924.2	24399.3	24907.5	24055.7	419.247	10652.8	10652.8	10652.8	8457.96	6138.07	0	0	6072.09	637.688	3488.61	0.228462	0.228462	0	0	0	0	0
