Timestep	2016	2017	2018	2019	ground
1	282.05	275.55	283.65	280.85	279.44
2	282.05	274.85	283.45	281.05	279.44
3	282.15	273.55	282.75	281.25	279.43
4	281.95	272.95	282.15	281.15	279.44
5	281.35	273.15	282.05	280.75	279.43
6	280.65	273.45	280.85	280.25	279.44
7	279.65	273.25	281.05	280.05	279.43
8	280.15	273.15	280.85	280.25	279.43
9	280.45	272.75	280.05	280.55	279.43
10	280.65	272.65	279.95	280.35	279.41
11	280.55	272.25	280.35	280.75	279.41
12	279.95	272.85	281.05	280.65	279.41
13	280.05	273.25	281.75	280.85	279.41
14	280.45	273.85	282.35	281.15	279.41
15	280.95	274.35	282.35	281.45	279.41
16	280.95	275.55	282.15	281.35	279.39
17	280.95	275.45	282.05	281.25	279.38
18	280.95	275.85	281.35	281.35	279.37
19	281.15	275.85	280.35	281.05	279.37
20	281.25	275.75	280.05	280.65	279.36
21	281.25	275.95	280.65	280.85	279.37
22	281.15	275.35	280.75	280.75	279.37
23	281.05	275.65	280.65	280.75	279.37
24	281.05	275.85	280.95	280.45	279.37
25	281.05	275.65	281.05	279.45	279.36
26	280.95	275.55	280.95	278.65	279.36
27	281.05	275.45	280.95	278.85	279.36
28	280.85	275.45	280.45	279.25	279.36
29	280.95	275.45	280.45	279.05	279.36
30	280.85	275.55	280.35	278.95	279.35
31	280.75	275.35	280.15	278.75	279.35
32	280.65	275.45	280.25	278.95	279.35
33	280.65	275.45	280.15	278.95	279.35
34	280.55	275.35	280.15	278.35	279.34
35	280.45	275.55	280.55	278.45	279.34
36	280.75	275.85	281.25	278.65	279.35
37	280.45	276.85	282.05	278.75	279.33
38	280.75	277.45	282.35	280.05	279.33
39	281.15	277.65	282.55	279.05	279.33
40	281.05	278.25	282.25	279.15	279.31
41	281.05	277.85	281.75	278.85	279.33
42	281.35	277.65	281.35	278.75	279.31
43	281.15	277.45	281.25	278.55	279.31
44	281.15	276.95	281.25	278.45	279.32
45	280.85	277.05	281.15	278.15	279.31
46	280.65	276.95	280.65	277.85	279.3
47	280.35	277.05	279.65	277.75	279.3
48	280.25	276.75	279.65	277.55	279.3
49	280.35	276.55	279.85	276.95	279.3
