Timestep	2016	2017	2018	2019
1	282.05	275.55	283.65	280.85
2	282.05	274.85	283.45	281.05
3	282.15	273.55	282.75	281.25
4	281.95	272.95	282.15	281.15
5	281.35	273.15	282.05	280.75
6	280.65	273.45	280.85	280.25
7	279.65	273.25	281.05	280.05
8	280.15	273.15	280.85	280.25
9	280.45	272.75	280.05	280.55
10	280.65	272.65	279.95	280.35
11	280.55	272.25	280.35	280.75
12	279.95	272.85	281.05	280.65
13	280.05	273.25	281.75	280.85
14	280.45	273.85	282.35	281.15
15	280.95	274.35	282.35	281.45
16	280.95	275.55	282.15	281.35
17	280.95	275.45	282.05	281.25
18	280.95	275.85	281.35	281.35
19	281.15	275.85	280.35	281.05
20	281.25	275.75	280.05	280.65
21	281.25	275.95	280.65	280.85
22	281.15	275.35	280.75	280.75
23	281.05	275.65	280.65	280.75
24	281.05	275.85	280.95	280.45
25	281.05	275.65	281.05	279.45
26	280.95	275.55	280.95	278.65
27	281.05	275.45	280.95	278.85
28	280.85	275.45	280.45	279.25
29	280.95	275.45	280.45	279.05
30	280.85	275.55	280.35	278.95
31	280.75	275.35	280.15	278.75
32	280.65	275.45	280.25	278.95
33	280.65	275.45	280.15	278.95
34	280.55	275.35	280.15	278.35
35	280.45	275.55	280.55	278.45
36	280.75	275.85	281.25	278.65
37	280.45	276.85	282.05	278.75
38	280.75	277.45	282.35	280.05
39	281.15	277.65	282.55	279.05
40	281.05	278.25	282.25	279.15
41	281.05	277.85	281.75	278.85
42	281.35	277.65	281.35	278.75
43	281.15	277.45	281.25	278.55
44	281.15	276.95	281.25	278.45
45	280.85	277.05	281.15	278.15
46	280.65	276.95	280.65	277.85
47	280.35	277.05	279.65	277.75
48	280.25	276.75	279.65	277.55
49	280.35	276.55	279.85	276.95
50	280.25	276.55	279.75	276.25
51	280.15	276.15	279.85	276.05
52	280.25	275.55	280.25	275.95
53	280.05	274.85	280.75	275.45
54	279.95	274.15	281.35	275.05
55	280.05	273.85	282.45	274.85
56	279.65	273.75	282.95	274.65
57	278.85	273.35	283.65	274.35
58	278.55	273.25	284.65	274.25
59	279.15	273.55	285.95	274.65
60	280.25	274.25	286.35	275.25
61	280.45	275.15	286.95	275.85
62	280.75	275.95	283.15	276.35
63	280.95	276.55	282.15	276.75
64	281.15	276.75	282.25	277.05
65	281.15	276.35	283.25	277.05
66	280.75	275.75	282.05	276.65
67	280.45	275.05	281.75	276.05
68	280.35	274.35	282.35	275.55
69	280.15	274.05	281.95	275.25
70	280.15	273.75	281.75	275.05
71	280.15	273.55	281.85	274.75
72	279.55	273.05	281.85	274.45
73	278.55	272.75	281.35	274.65
74	278.45	272.35	280.85	274.85
75	278.55	272.15	280.65	274.25
76	279.15	272.05	279.95	274.25
77	279.95	272.55	279.35	274.25
78	280.75	273.25	279.15	274.05
79	281.15	274.05	279.35	274.05
80	281.45	274.45	279.65	274.15
81	281.25	274.95	279.85	273.95
82	281.05	275.15	280.25	274.05
83	281.35	275.15	281.05	274.55
84	281.65	275.45	282.65	275.55
85	282.55	276.05	284.15	276.55
86	281.85	276.25	285.45	277.35
87	281.75	276.15	286.75	278.05
88	282.25	276.55	287.05	278.45
89	281.95	277.15	286.85	278.65
90	281.45	277.35	286.55	278.25
91	281.05	277.45	286.45	277.05
92	280.25	277.35	286.35	276.65
93	280.35	276.75	286.75	276.45
94	280.45	276.75	286.65	276.25
95	280.75	276.95	286.45	276.25
96	280.75	276.95	286.15	276.15
97	280.75	277.15	285.75	276.35
98	280.15	277.15	284.65	276.65
99	280.15	276.85	285.45	276.85
100	280.25	276.55	285.35	276.15
101	280.15	276.35	285.35	275.45
102	280.15	276.15	285.25	275.05
103	280.05	276.45	285.35	274.85
104	280.45	276.25	285.15	274.75
105	280.65	276.25	284.55	275.05
106	280.65	276.05	284.45	275.35
107	280.75	276.25	285.05	275.85
108	281.25	276.65	285.45	276.55
109	282.55	277.25	286.55	277.25
110	283.65	277.25	287.05	277.65
111	283.35	276.55	287.05	277.25
112	283.45	276.55	286.85	277.05
113	283.35	276.65	286.85	277.85
114	282.85	275.95	286.75	277.85
115	282.15	274.85	286.55	277.45
116	281.85	274.75	286.55	277.45
117	281.35	274.45	285.25	277.85
118	281.25	273.95	284.75	277.85
119	281.45	272.95	284.75	277.85
120	281.25	272.55	284.85	277.15
121	281.05	272.05	284.55	276.75
122	280.95	271.45	284.55	277.25
123	280.55	271.05	284.35	276.85
124	280.65	270.65	283.85	276.35
125	280.35	270.25	283.45	276.15
126	280.15	269.85	282.95	276.75
127	280.25	269.55	282.55	277.15
128	279.75	269.45	282.25	277.55
129	279.75	268.95	282.35	277.75
130	279.75	268.75	282.75	277.75
131	280.15	268.75	282.75	277.85
132	280.85	269.55	282.65	278.75
133	281.15	270.05	282.95	279.85
134	282.15	270.75	282.75	280.25
135	282.25	271.35	283.45	280.15
136	281.95	271.55	283.75	280.15
137	281.75	271.55	283.65	279.75
138	280.95	271.15	283.35	279.45
139	279.85	270.15	283.25	279.15
140	279.55	269.55	282.25	278.95
141	279.55	269.25	281.85	278.65
142	279.75	268.85	281.75	278.35
143	279.85	268.45	281.55	278.15
144	279.75	268.25	281.45	278.35
145	279.75	268.25	281.65	278.35
146	279.65	268.15	281.65	278.35
147	279.55	267.55	281.45	278.25
148	279.35	267.25	281.55	278.55
149	279.15	267.25	281.65	278.35
150	278.95	267.35	281.65	278.15
151	279.15	267.45	281.65	278.15
152	279.15	267.35	281.65	278.25
153	279.05	267.15	281.75	277.95
154	279.05	267.45	281.75	278.05
155	279.45	267.85	282.05	278.15
156	278.85	268.45	282.25	278.45
157	277.75	269.25	282.45	278.85
158	277.35	270.15	282.25	279.25
159	278.65	270.45	282.35	279.25
160	280.35	271.25	282.35	279.05
161	281.75	271.25	282.45	278.95
162	282.55	271.35	282.35	278.65
163	282.55	271.75	282.05	278.55
164	283.35	271.95	281.55	278.45
165	283.45	272.35	280.95	278.35
166	283.15	272.55	280.75	278.65
167	282.55	272.65	280.45	278.65
168	281.95	273.05	279.95	278.55
169	281.75	273.25	279.85	278.25
170	281.65	273.45	279.95	278.25
171	281.55	273.65	279.95	277.95
172	281.15	273.45	279.95	278.05
173	280.45	273.55	279.75	278.15
174	280.55	273.75	279.65	278.25
175	280.75	273.95	279.45	278.25
176	280.45	274.05	279.35	278.15
177	280.25	274.35	279.55	277.85
178	280.25	274.55	279.75	277.75
179	280.35	274.85	279.85	277.45
180	281.05	275.45	280.25	277.75
181	280.85	275.55	280.75	278.55
182	280.45	275.65	281.45	279.35
183	280.15	275.45	281.85	279.35
184	280.05	276.45	282.45	278.95
185	280.65	276.65	281.55	278.95
186	280.45	276.35	281.25	279.45
187	280.35	276.05	280.95	279.35
188	280.35	275.15	280.55	278.85
189	280.35	274.55	280.25	278.75
190	280.35	273.95	280.05	279.15
191	280.25	273.65	279.95	278.85
192	280.35	273.25	279.55	279.05
193	280.35	273.05	279.65	278.95
194	280.35	272.75	279.65	278.85
195	280.35	272.85	279.35	278.65
196	280.25	272.65	280.15	278.35
197	280.25	272.75	280.25	278.35
198	280.55	272.95	279.85	277.95
199	280.65	273.15	279.35	277.25
200	280.55	273.25	279.45	276.75
201	280.45	272.05	279.15	277.25
202	280.35	271.85	279.15	276.75
203	280.35	272.95	279.45	276.85
204	280.65	274.05	280.05	277.55
205	280.65	274.95	281.25	278.15
206	280.95	275.45	281.85	277.85
207	281.15	276.15	281.75	277.65
208	281.55	276.25	281.95	278.05
209	282.05	276.15	282.25	278.15
210	282.25	275.85	282.45	276.85
211	281.65	275.35	281.85	275.85
212	281.35	275.25	281.55	275.75
213	280.75	275.15	281.35	275.95
214	280.25	275.15	280.95	276.25
215	281.05	275.25	280.45	276.35
216	280.85	274.85	279.85	275.85
217	280.35	274.55	279.25	275.85
218	279.85	274.75	278.65	275.75
219	279.75	275.05	278.15	275.65
220	280.25	274.95	277.55	275.25
221	279.85	275.25	278.15	275.55
222	280.95	275.35	278.65	275.55
223	281.35	275.15	278.55	274.75
224	281.65	274.85	278.35	274.75
225	281.65	274.85	278.45	274.85
226	281.75	275.05	279.35	275.15
227	281.35	274.95	278.55	275.45
228	281.05	275.55	278.95	275.75
229	281.15	276.15	279.75	276.25
230	280.85	276.05	280.35	277.05
231	281.15	276.25	279.95	277.55
232	281.25	276.15	280.45	277.35
233	281.25	276.45	280.65	277.25
234	281.25	276.45	281.15	276.65
235	281.35	275.95	281.05	276.45
236	281.75	275.55	280.75	276.35
237	281.75	274.85	280.15	276.05
238	281.95	273.95	279.65	275.95
239	282.35	274.35	279.65	276.15
240	281.85	274.25	279.85	275.85
241	281.45	274.35	279.65	275.55
242	281.45	274.65	279.65	275.25
243	281.15	274.95	279.85	275.05
244	281.15	274.95	279.75	275.15
245	280.75	274.85	279.85	274.95
246	280.55	275.35	279.85	274.75
247	280.15	275.45	279.75	274.75
248	280.15	275.45	279.45	274.85
249	280.05	275.45	279.65	275.15
250	280.25	275.35	279.55	275.05
251	281.15	276.05	279.65	275.05
252	284.35	276.45	279.75	275.65
253	283.65	276.85	280.25	276.15
254	285.35	277.65	281.45	276.65
255	285.25	278.15	281.35	276.85
256	284.45	278.05	281.15	277.05
