Symbole	Qh	Qh2	Qh3	Qh4	Qc	Qc2	Qc3	Qc4	Qv	Qv2	Qv3	Qv4	Qe	Qe2	Qe3	Qe4	Tref	Th	Th2	Th3	Th4	Teref	Tdem	Mw	R	R2	R3	R4	Sur	Qw	AthAe
colle	93.0	67.3	41.7	16.0	1	2.3	3.7	5	0.0	0.3	0.7	1.0	19.0	18.3	17.7	17	21.0	12.5	10	7.5	5	26.0	55	1380	0.5575	0.16	0.08	0	40	16	1.33
indiv	155.0	112.0	69.0	26.0	1	2.3	3.7	5	0.0	0.3	0.7	1.0	20.0	19.0	18.0	17	21.0	12.5	10	7.5	5	26.0	55	1051	0.5575	0.16	0.08	0	60	12	2.11
admin	51.0	37.7	24.3	11.0	14	15.3	16.7	18	6.0	5.3	4.7	4.0	49.0	44.7	40.3	36	21.0	12.5	10	7.5	5	26.0	55	1126	0.5575	0.16	0.08	0	20	2	0.93
ecole	92.0	68.0	44.0	20.0	3	5.3	7.7	10	2.0	2.7	3.3	4.0	23.0	22.0	21.0	20	21.0	12.5	10	7.5	5	26.0	55	1987	0.5575	0.16	0.08	0	10	3	1.21
comme	33.0	29.0	25.0	21.0	11	16.0	21.0	26	6.0	6.0	6.0	6.0	139.0	132.3	125.7	119	20.0	12.5	10	7.5	5	26.0	55	695	0.5575	0.16	0.08	0	10	4	0.87
resta	105.0	77.0	49.0	21.0	17	23.3	29.7	36	20.0	17.0	14.0	11.0	79.0	74.7	70.3	66	21.0	12.5	10	7.5	5	26.0	55	4505	0.5575	0.16	0.08	0	5	59	1.18
rasse	91.0	66.7	42.3	18.0	4	6.7	9.3	12	14.0	12.3	10.7	9.0	38.0	35.7	33.3	31	21.0	12.5	10	7.5	5	26.0	55	2041	0.5575	0.16	0.08	0	5	4	1.1
hopit	71.0	51.7	32.3	13.0	7	9.3	11.7	14	1.0	2.7	4.3	6.0	35.0	33.3	31.7	30	22.0	12.5	10	7.5	5	26.0	55	2698	0.5575	0.16	0.08	0	30	31	0.97
indus	74.0	54.7	35.3	16.0	3	4.3	5.7	7	18.0	14.3	10.7	7.0	50.0	47.0	44.0	41	20.0	12.5	10	7.5	5	26.0	55	990	0.5575	0.16	0.08	0	20	2	1.14
depot	69.0	51.0	33.0	15.0	0	0.3	0.7	1	0.0	0.7	1.3	2.0	18.0	18.0	18.0	18	18.0	12.5	10	7.5	5	26.0	55	465	0.5575	0.16	0.08	0	100	1	1.25
sport	71.0	52.7	34.3	16.0	0	0.0	0.0	0	0.0	1.3	2.7	4.0	18.0	18.0	18.0	18	18.0	12.5	10	7.5	5	26.0	55	0	0.5575	0.16	0.08	0	20	33	1.07
pisci	102.0	76.3	50.7	25.0	0	0.3	0.7	1	9.0	8.0	7.0	6.0	44.0	39.3	34.7	30	24.0	12.5	10	7.5	5	30.0	55	7166	0.5575	0.16	0.08	0	20	94	1.14
