Timestep	2018	2019	2020	2021	2022
1	281.95	278.85	275.25	274.35	280.25
2	280.35	278.85	274.75	274.45	279.15
3	279.65	278.65	275.15	274.55	279.55
4	279.25	278.15	275.25	274.45	279.05
5	279.65	277.35	275.25	273.95	279.45
6	279.35	276.95	275.25	273.95	278.85
7	279.05	276.85	275.45	274.35	278.55
8	278.35	277.35	275.45	274.65	278.15
9	278.15	276.95	275.25	274.75	277.85
10	278.65	277.25	275.05	275.05	278.15
11	279.05	277.75	275.15	275.45	279.45
12	279.95	278.05	275.25	276.05	279.75
13	280.85	278.15	275.35	276.75	280.15
14	280.45	278.25	275.25	276.35	280.35
15	280.55	278.55	275.25	276.35	279.85
16	280.35	278.55	275.25	276.15	280.35
17	279.95	278.45	275.05	276.15	278.25
18	278.85	278.35	274.85	275.65	278.45
19	278.75	278.15	274.75	275.55	278.85
20	279.75	277.95	274.65	275.45	278.75
21	280.35	278.15	274.65	275.45	278.65
22	279.65	278.05	274.75	275.25	278.55
23	279.35	278.05	274.95	275.05	277.95
24	279.55	277.75	274.95	275.05	277.35
25	279.45	276.45	274.95	275.05	277.15
26	279.55	275.75	274.75	275.05	276.55
27	278.45	275.75	274.65	275.05	275.75
28	277.95	276.55	274.55	274.95	275.05
29	278.65	276.75	274.45	274.95	274.55
30	278.65	277.25	274.25	274.85	274.45
31	278.55	277.05	274.25	274.75	274.65
32	278.65	277.15	274.65	275.05	274.65
33	278.65	276.65	274.55	275.05	274.95
34	278.85	276.65	274.95	275.15	275.85
35	279.75	276.65	275.75	275.25	278.55
36	280.05	276.75	275.95	275.35	278.85
37	280.25	277.15	276.05	275.75	279.75
38	279.35	277.15	275.95	275.75	280.15
39	278.95	278.05	275.65	275.55	280.45
40	279.05	277.45	275.35	275.25	280.85
41	279.05	276.95	275.55	275.05	280.35
42	279.05	275.95	275.85	274.85	281.85
43	279.05	275.75	275.95	274.75	281.85
44	279.15	275.65	276.25	274.65	281.45
45	278.55	274.95	276.35	274.55	283.85
46	277.95	274.05	275.85	274.45	283.35
47	277.95	274.35	275.85	274.35	282.85
48	277.65	274.55	275.75	274.25	283.55
49	277.15	274.55	275.95	274.15	283.45
50	277.65	274.15	276.15	274.05	283.55
51	277.65	273.95	275.95	274.05	283.65
52	277.75	273.85	275.85	274.05	283.35
53	278.35	273.55	275.85	274.05	283.25
54	279.25	273.15	275.75	274.05	283.05
55	279.95	272.85	275.65	273.95	283.15
56	280.25	272.45	275.55	274.05	282.95
57	281.05	272.45	275.75	274.05	282.75
58	283.25	273.25	277.15	274.05	282.75
59	284.35	274.05	278.85	274.25	283.35
60	283.95	274.55	279.25	274.45	283.55
61	284.65	275.05	279.65	274.65	283.95
62	281.05	275.35	279.55	274.75	284.15
63	280.25	275.55	280.15	274.85	283.15
64	280.65	275.45	281.35	274.95	283.35
65	281.55	274.75	280.65	274.85	283.15
66	281.15	274.15	281.25	274.45	283.45
67	280.85	273.95	280.55	273.95	282.55
68	280.65	273.75	280.55	273.65	283.45
69	280.85	273.85	280.05	273.85	282.85
70	281.05	273.35	280.15	274.35	282.85
71	280.55	273.35	279.75	274.45	282.95
72	279.85	273.25	280.05	274.45	282.65
73	279.15	273.15	280.45	274.55	282.75
74	278.75	272.95	280.35	274.45	282.75
75	277.75	272.75	280.15	274.45	282.25
76	277.55	272.55	280.15	274.45	281.95
77	277.55	272.65	279.95	274.25	281.25
78	277.65	272.65	279.85	274.05	281.05
79	277.75	272.65	279.75	274.05	280.95
80	277.85	272.45	279.35	273.95	281.05
81	278.05	272.25	279.45	273.65	281.25
82	278.65	273.45	279.95	273.55	281.65
83	279.35	274.75	280.65	273.55	283.25
84	280.05	275.55	280.65	273.35	283.95
85	281.85	276.35	281.05	273.25	284.95
86	284.05	276.75	281.25	273.45	286.15
87	284.55	276.95	281.85	273.35	286.65
88	284.45	276.85	282.75	273.25	287.45
89	284.35	276.45	281.45	273.15	287.15
90	284.25	275.65	280.25	273.15	286.45
91	283.95	275.25	279.25	273.35	285.85
92	284.85	274.85	278.95	273.55	285.95
93	284.25	274.35	278.45	273.55	286.05
94	284.35	274.05	278.25	273.55	285.35
95	284.35	274.35	277.85	273.55	283.85
96	283.65	274.85	277.35	273.45	280.75
97	282.95	274.85	276.85	273.45	279.45
98	283.05	275.05	276.55	273.55	278.95
99	282.95	274.55	276.35	273.65	278.15
100	282.95	274.15	276.45	273.65	277.65
101	283.05	273.85	276.35	273.55	277.65
102	283.05	273.55	276.25	273.65	277.55
103	282.75	273.55	276.05	273.75	277.15
104	281.85	273.55	275.75	273.85	277.05
105	281.95	273.65	275.75	274.05	277.05
106	281.75	274.45	276.05	274.15	276.55
107	281.95	275.15	277.45	274.65	275.65
108	282.25	275.65	277.85	274.75	275.65
109	282.65	275.45	278.15	274.85	276.05
110	283.05	275.35	278.25	274.65	276.95
111	283.55	275.55	278.55	274.65	276.85
112	283.85	275.95	279.35	274.35	276.25
113	283.45	275.95	278.85	274.05	275.65
114	283.15	275.95	277.85	273.95	275.45
115	283.65	276.05	277.75	273.75	275.15
116	282.65	276.15	277.05	273.75	274.85
117	282.55	276.25	276.35	273.65	274.55
118	282.45	275.35	275.95	273.65	274.15
119	282.65	275.35	275.55	273.55	274.55
120	282.45	276.05	275.35	273.35	274.55
121	282.65	276.55	274.95	273.25	274.45
122	282.05	276.55	274.75	273.05	274.55
123	282.25	276.65	274.75	272.95	274.55
124	282.05	276.45	275.35	272.85	274.55
125	281.35	276.45	275.85	272.75	274.35
126	280.95	276.65	275.75	272.55	273.65
127	280.65	276.75	275.85	272.65	273.55
128	280.25	276.35	275.55	272.65	273.45
129	280.35	276.55	275.55	272.85	273.65
130	281.05	276.75	276.45	273.15	274.45
131	281.25	277.25	277.05	273.85	275.75
132	281.75	277.65	277.35	274.05	276.65
133	282.15	278.25	277.45	274.45	277.35
134	281.75	278.45	277.55	274.75	277.35
135	281.75	278.45	277.95	274.75	277.65
136	281.75	278.15	278.15	274.75	277.65
137	281.45	277.85	277.85	274.65	276.95
138	280.65	277.15	276.85	274.35	275.85
139	280.45	276.25	276.25	274.15	275.25
140	280.35	275.65	275.95	274.05	275.05
141	280.25	275.35	275.95	273.95	274.45
142	280.05	274.95	275.95	273.95	274.05
143	279.95	274.75	276.05	273.75	273.95
144	279.85	274.45	276.15	273.75	273.65
145	279.55	274.95	275.95	273.85	273.55
146	279.55	274.55	276.25	273.95	272.45
147	279.15	274.65	276.25	273.75	272.05
148	279.05	274.45	276.45	273.75	272.15
149	278.35	274.15	276.75	273.35	272.45
150	277.95	274.55	277.15	273.25	273.15
151	278.25	275.55	276.95	273.15	273.55
152	277.95	275.65	277.05	273.15	273.35
153	278.15	275.65	276.95	272.55	273.35
154	278.35	275.85	278.15	273.05	273.45
155	279.05	276.05	278.65	273.95	274.65
156	279.65	276.25	279.35	275.25	274.75
157	279.75	276.35	280.05	275.35	274.65
158	279.65	276.45	279.85	275.55	274.65
159	279.85	276.55	279.85	276.05	274.75
160	280.05	276.55	279.95	275.95	274.35
161	279.65	276.45	279.85	275.65	274.15
162	278.95	276.35	278.55	274.25	274.45
163	278.55	276.25	278.35	273.95	274.75
164	278.55	276.15	278.95	273.75	274.65
165	278.45	275.95	278.55	273.85	274.75
166	277.95	275.75	277.85	273.65	274.95
167	277.75	275.65	277.35	273.65	275.15
168	277.95	275.55	277.25	273.15	275.25
169	277.85	275.55	276.25	273.05	275.15
170	278.05	275.55	276.15	272.95	275.15
171	277.95	275.75	276.05	272.75	274.65
172	277.75	276.15	275.55	272.75	274.35
173	277.45	276.05	275.95	272.65	273.85
174	277.65	275.75	276.65	272.45	275.05
175	277.35	275.95	276.85	272.65	275.25
176	276.95	276.05	277.15	272.25	275.05
177	276.95	276.05	276.55	272.15	275.55
178	277.45	275.95	277.15	273.15	275.95
179	278.15	275.55	278.15	274.45	276.35
180	278.85	276.05	278.75	274.95	276.65
181	278.85	276.45	278.75	275.75	276.75
182	279.05	276.75	279.15	275.75	276.75
183	279.35	276.55	279.05	275.95	277.05
184	278.85	276.75	279.55	275.75	277.05
185	278.85	276.75	279.25	275.15	277.25
186	278.75	276.65	278.35	273.85	277.15
187	279.15	277.05	278.15	273.45	277.05
188	278.95	276.65	277.55	272.85	276.45
189	279.15	276.45	277.45	272.55	275.45
190	278.95	276.15	277.05	272.15	275.45
191	278.85	276.05	276.85	271.35	275.55
192	278.25	275.95	277.15	271.15	276.15
193	278.35	275.55	277.55	271.35	276.95
194	278.65	275.25	278.05	271.25	278.55
195	278.45	275.55	277.65	271.05	278.25
196	279.05	275.85	276.85	270.85	277.95
197	278.35	275.35	277.15	270.85	278.35
198	278.75	274.55	276.65	270.55	277.65
199	278.25	274.45	276.35	270.55	277.45
200	278.65	274.25	276.85	270.45	276.45
201	277.95	274.05	276.65	270.15	277.25
202	278.25	274.05	278.05	270.45	275.45
203	278.65	274.95	279.25	271.35	275.15
204	278.85	275.45	279.15	272.25	277.45
205	279.15	275.25	279.45	272.65	276.75
206	279.35	274.95	280.15	273.35	276.65
207	279.85	275.15	281.75	273.25	276.95
208	279.75	275.35	282.35	273.15	275.95
209	280.15	275.05	281.45	272.65	275.55
210	279.75	274.35	280.65	272.45	275.25
211	279.25	273.55	280.15	272.55	275.25
212	279.35	273.25	280.25	272.65	275.55
213	279.35	273.15	281.15	272.65	275.75
214	278.95	273.55	281.35	272.55	276.15
215	278.85	273.65	281.85	272.35	276.15
216	278.75	273.25	282.45	272.35	276.05
217	278.35	273.05	282.25	272.25	275.95
218	277.95	272.75	282.05	272.25	275.65
219	277.45	272.65	280.85	272.05	275.65
220	277.25	273.15	280.05	271.95	275.45
221	276.95	273.35	279.55	271.85	275.35
222	276.55	273.05	279.15	271.55	274.85
223	276.35	273.05	279.15	271.45	274.55
224	276.75	272.55	279.25	271.35	274.45
225	276.75	272.55	279.45	271.15	274.45
226	277.15	273.05	279.85	271.55	275.05
227	278.05	273.95	280.15	272.05	275.65
228	278.25	274.55	280.35	272.75	276.25
229	278.55	274.85	281.15	273.45	276.85
230	278.35	275.15	282.15	273.55	277.55
231	278.45	275.25	282.15	273.55	277.65
232	278.75	274.95	281.15	273.35	277.45
233	278.75	274.55	281.45	272.75	276.75
234	278.55	273.75	280.55	272.15	275.85
235	278.25	273.55	279.65	271.75	275.25
236	278.15	273.55	279.25	271.25	274.85
237	278.35	273.35	279.05	270.85	274.95
238	278.15	273.15	278.85	270.55	274.95
239	278.35	273.15	278.65	270.45	274.75
240	278.45	273.05	278.35	269.75	274.65
241	278.45	272.85	279.05	270.15	274.55
242	278.05	272.55	279.05	270.55	274.45
243	277.85	272.35	279.25	270.45	274.15
244	277.65	272.25	279.45	270.35	274.05
245	277.35	272.35	278.95	270.25	274.05
246	277.45	272.45	278.05	269.95	274.05
247	277.45	272.35	277.85	269.85	273.85
248	277.25	272.25	278.05	269.75	273.85
249	277.45	272.05	278.15	269.55	273.85
250	277.65	272.45	279.35	269.45	273.65
251	278.45	273.25	280.05	269.95	274.25
252	278.85	274.05	280.95	270.35	274.65
253	279.05	274.35	280.45	270.95	276.55
254	278.95	274.55	280.35	272.15	277.25
255	279.45	274.75	280.35	272.35	277.25
256	279.95	274.95	280.45	271.95	277.05
257	279.95	274.55	280.15	271.95	276.15
258	280.15	274.55	279.25	271.35	275.25
259	279.65	274.45	278.55	270.15	274.85
260	279.15	274.15	278.05	269.55	274.55
261	279.35	273.45	277.65	269.25	274.45
262	278.95	273.15	277.05	269.25	274.15
263	278.95	273.15	276.55	269.65	273.85
264	278.85	273.15	276.05	270.25	273.55
265	278.45	273.35	275.75	270.55	273.55
266	277.65	273.55	275.65	271.15	273.55
267	277.25	273.55	275.95	271.35	273.25
268	276.95	273.65	276.25	271.45	272.85
269	277.05	274.05	275.65	271.25	272.75
270	277.15	274.05	275.55	270.95	272.55
271	277.45	274.15	274.95	270.95	272.15
272	277.65	274.05	274.75	271.15	271.85
273	277.45	274.15	274.65	271.65	271.85
274	277.55	274.35	276.25	272.05	272.35
275	278.05	274.95	277.45	272.45	273.05
276	278.75	275.45	278.15	272.85	273.85
277	279.15	275.55	278.65	273.55	274.65
278	279.25	275.65	279.25	273.55	275.05
279	279.15	275.85	279.85	273.45	275.65
280	278.85	275.95	280.15	273.15	275.65
281	278.45	276.15	279.75	273.55	275.25
282	278.05	276.05	278.25	273.65	274.35
283	277.85	275.95	278.25	273.65	273.85
284	277.55	275.95	277.95	273.95	273.25
285	277.25	276.15	277.65	274.15	272.75
286	276.75	276.95	277.25	274.45	272.55
287	276.15	277.85	276.75	274.85	272.35
288	276.25	277.75	276.45	275.05	272.15
289	276.55	276.75	276.25	275.25	271.75
290	276.75	275.95	275.85	275.45	271.65
291	276.65	275.55	275.75	275.55	271.05
292	276.55	275.65	275.45	275.55	270.75
293	275.55	275.35	275.05	275.65	270.55
294	274.75	275.35	274.75	275.95	270.35
295	274.55	275.05	274.55	275.95	270.05
296	274.25	275.35	274.55	275.65	270.05
297	274.25	275.15	275.05	276.25	270.55
298	275.75	275.65	276.25	276.55	271.45
299	276.65	275.85	277.05	276.65	272.25
300	277.05	276.15	277.25	276.85	272.95
