Timestep	2021air	2021sol
1	-0.1	4
2	-0.1	4
3	0	4
4	0.1	4
5	0.1	4
6	0.1	4
7	-0.1	4
8	-0.1	4
9	-0.1	4
10	0.1	4
11	0.2	4
12	0.6	4
13	0.9	4
14	0.6	4
15	0.7	4
16	0.7	4
17	0.6	4
18	0.4	4
19	0.4	4
20	0.3	3.9
21	0.3	3.9
22	0.2	3.9
23	0	3.9
24	-0.1	3.9
25	-0.1	3.9
26	-0.1	3.9
27	-0.2	3.9
28	-0.2	3.9
29	-0.3	3.9
30	-0.3	3.9
31	-0.3	3.9
32	-0.3	3.9
33	-0.3	3.8
34	-0.2	3.8
35	-0.2	3.8
36	-0.2	3.8
37	-0.1	3.8
38	-0.1	3.8
39	-0.2	3.8
40	-0.4	3.8
41	-0.6	3.8
42	-0.7	3.8
43	-0.8	3.8
44	-0.8	3.7
45	-0.9	3.7
46	-1	3.7
47	-1.2	3.7
48	-1.3	3.7
49	-1.3	3.7
50	-1.4	3.7
51	-1.4	3.7
52	-1.4	3.7
53	-1.4	3.7
54	-1.4	3.7
55	-1.3	3.6
56	-1.4	3.6
57	-1.4	3.6
58	-1.4	3.6
59	-1.3	3.6
60	-1.1	3.6
61	-0.9	3.6
62	-0.7	3.6
63	-0.6	3.6
64	-0.5	3.6
65	-0.6	3.6
66	-1	3.6
67	-1.2	3.6
68	-1.2	3.6
69	-1.3	3.6
70	-1.7	3.6
71	-2.4	3.6
72	-2.1	3.6
73	-2.6	3.6
74	-3.1	3.6
75	-3.2	3.6
76	-3.1	3.6
77	-3	3.6
78	-3	3.6
79	-2.9	3.6
80	-2.8	3.6
81	-2.8	3.6
82	-2.5	3.6
83	-2.5	3.6
84	-2.5	3.6
85	-2.5	3.5
86	-2.2	3.5
87	-2	3.5
88	-1.8	3.5
89	-1.5	3.5
90	-1.5	3.5
91	-1.5	3.5
92	-1.5	3.5
93	-1.5	3.5
94	-1.7	3.5
95	-1.8	3.5
96	-1.8	3.5
97	-1.8	3.5
98	-1.9	3.5
99	-1.9	3.5
100	-1.8	3.5
101	-1.9	3.5
102	-1.9	3.5
103	-2	3.5
104	-1.9	3.5
105	-1.8	3.5
106	-1.6	3.5
107	-1.4	3.5
108	-1.3	3.5
109	-1.2	3.5
110	-1.2	3.5
111	-1.1	3.5
112	-1.1	3.5
113	-1.3	3.5
114	-1.4	3.5
115	-1.5	3.5
116	-1.7	3.5
117	-1.9	3.5
118	-2.1	3.5
119	-2.3	3.5
120	-2.5	3.5
121	-2.4	3.5
122	-2.5	3.5
123	-2.6	3.5
124	-2.7	3.5
125	-2.8	3.5
126	-2.9	3.5
127	-2.9	3.5
128	-2.8	3.5
129	-2.6	3.5
130	-2.4	3.5
131	-2.2	3.5
132	-1.8	3.5
133	-1.3	3.5
134	-0.9	3.5
135	-0.6	3.4
136	-0.6	3.4
