	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
colle	0.016393443	0.016393443	0.016393443	0.016393443	0.016393443	0.032786885	0.131147541	0.032786885	0.016393443	0.016393443	0.016393443	0.016393443	0.131147541	0.032786885	0.016393443	0.016393443	0.016393443	0.032786885	0.131147541	0.163934426	0.032786885	0.032786885	0.032786885	0.016393443
indiv	0.016393443	0.016393443	0.016393443	0.016393443	0.016393443	0.032786885	0.131147541	0.032786885	0.016393443	0.016393443	0.016393443	0.016393443	0.131147541	0.032786885	0.016393443	0.016393443	0.016393443	0.032786885	0.131147541	0.163934426	0.032786885	0.032786885	0.032786885	0.016393443
admin	0.012048193	0.012048193	0.012048193	0.012048193	0.012048193	0.012048193	0.012048193	0.024096386	0.072289157	0.096385542	0.120481928	0.096385542	0.048192771	0.072289157	0.120481928	0.096385542	0.072289157	0.024096386	0.012048193	0.012048193	0.012048193	0.012048193	0.012048193	0.012048193
ecole	0.011494253	0.011494253	0.011494253	0.011494253	0.011494253	0.011494253	0.011494253	0.045977011	0.068965517	0.091954023	0.114942529	0.091954023	0.022988506	0.068965517	0.114942529	0.091954023	0.091954023	0.045977011	0.011494253	0.011494253	0.011494253	0.011494253	0.011494253	0.011494253
comme	0.013157895	0.013157895	0.013157895	0.013157895	0.013157895	0.013157895	0.013157895	0.065789474	0.065789474	0.065789474	0.065789474	0.065789474	0.065789474	0.065789474	0.065789474	0.065789474	0.065789474	0.065789474	0.065789474	0.065789474	0.013157895	0.013157895	0.013157895	0.013157895
resta	0.011627907	0.011627907	0.011627907	0.011627907	0.011627907	0.011627907	0.011627907	0.011627907	0.046511628	0.046511628	0.046511628	0.069767442	0.11627907	0.11627907	0.011627907	0.011627907	0.011627907	0.011627907	0.046511628	0.046511628	0.069767442	0.11627907	0.093023256	0.046511628
rasse	0.008928571	0.008928571	0.008928571	0.008928571	0.008928571	0.008928571	0.008928571	0.017857143	0.053571429	0.089285714	0.089285714	0.017857143	0.017857143	0.089285714	0.089285714	0.053571429	0.053571429	0.053571429	0.053571429	0.089285714	0.089285714	0.053571429	0.017857143	0.008928571
hopit	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.033333333	0.133333333	0.1	0.066666667	0.033333333	0.033333333
indus	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.06122449	0.102040816	0.102040816	0.081632653	0.040816327	0.06122449	0.102040816	0.081632653	0.06122449	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163
depot	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.06122449	0.102040816	0.102040816	0.081632653	0.040816327	0.06122449	0.102040816	0.081632653	0.06122449	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163
sport	0.008064516	0.008064516	0.008064516	0.008064516	0.008064516	0.008064516	0.008064516	0.040322581	0.064516129	0.080645161	0.080645161	0.064516129	0	0.064516129	0.080645161	0.080645161	0.064516129	0.040322581	0.064516129	0.064516129	0.064516129	0.040322581	0.040322581	0.008064516
pisci	0.008064516	0.008064516	0.008064516	0.008064516	0.008064516	0.008064516	0.008064516	0.040322581	0.064516129	0.080645161	0.080645161	0.064516129	0	0.064516129	0.080645161	0.080645161	0.064516129	0.040322581	0.064516129	0.064516129	0.064516129	0.040322581	0.040322581	0.008064516
