Symbole	vc	Pc	Tc	Tbp	Mol. weight	WP	DipM	alpha	beta 	gamma	delta	RoL	TL	Roc	Tfp
-	[m3/kg]	[Pa]	[K]	[K]	[g/mol]	[-]	[debye]	[J/(kg K)]	[J/(kg K)]	[J/(kg K)]	[J/(kg K)]	[kg/m3]	[K]	[kg/m3]	[K]
R1270	0.00430126	4600000	364.9	225.5	42.081	0.114	0.4	88.1633	5.57259	-0.00276	0.000000524	612	223	232.49	87.9
R740	0.001874941	4870000	150.8	87.3	39.948	0.001	0	521	0	0	0.000000000	1373	90	533.35	83.8
R784	0.001088305	5500000	209.4	119.9	83.8	0.005	0	248	0	0	0.000000000	2420	120	918.86	115.8
R730	0.001922966	6480000	180	121.4	30.006	0.588	0.2	978	-0.0313	0.0325	-0.000140000	1280	121	520.03	109.5
R746	0.003647372	10100000	431	294.3	46.006	0.834	0.4	527	1.05	-0.000452	0.000000006	1226	184	274.17	261.9
R732	0.002293841	5040000	154.6	90.2	31.999	0.025	0	878	-0.000115	0.000546	-0.000333000	1149	90	435.95	54.4
R764	0.001907487	7880000	430.8	263.2	64.063	0.256	1.6	372	1.05	-0.000774	0.000000207	1455	263	524.25	197.7
R748	0.001852161	5570000	261.1	181.2	47.998	0.691	0.6	428	1.67	-0.0013	0.000000354	1356	161	539.91	80.5
R702	0.031897927	1290000	33	20.3	2.016	-0.216	0	13500	4.6	-0.00685	0.000003790	71	20	31.35	14
R717	0.004256949	11350000	405.5	239.8	17.031	0.25	1.5	1600	1.4	0.001	-0.000000696	639	273	234.91	195.4
R13B1	0.001315564	3970000	340.2	215.3	148.91	0.171	0.7	147	1.45	-0.00142	0.000000501	1538	298	760.13	105.15
R13	0.001726996	3870000	302	193.2	104.459	0.198	0.5	218	1.83	-0.00151	0.000000427	1298	243	579.04	92
R12	0.001792179	4140000	385	245.2	120.914	0.204	0.5	261	1.47	-0.00125	0.000000359	1750	158	557.98	115.4
R11	0.001803914	4410000	471.2	296.9	137.368	0.189	0.5	298	1.21	-0.00103	0.000000302	1494	290	554.35	162
R10	0.001793625	4560000	556.4	349.9	153.823	0.193	0	265	1.33	-0.00148	0.000000575	1584	298	557.53	250
R14	0.001586269	3740000	227.6	145.1	88.005	0.177	0	159	2.3	-0.00185	0.000000513	1330	193	630.41	86.4
R728	0.003327344	3500000	132.9	81.7	28.01	0.066	0.1	1100	-0.459	0.000996	-0.000000454	803	81	300.54	68.1
R744	0.002133606	7380000	304.1	194.6	44.01	0.239	0	450	1.67	-0.00127	0.000000390	0	0	468.69	216.6
R22	0.001915122	4970000	369.3	232.4	86.469	0.221	1.4	200	1.87	-0.00135	0.000000354	1230	289	522.16	113
R21	0.001908215	5180000	451.6	282.1	102.923	0.21	1.3	230	1.54	-0.00117	0.000000317	1380	282	524.05	138
R20	0.002001201	5370000	536.4	334.3	119.378	0.218	1.1	201	1.59	-0.00154	0.000000558	1489	293	499.7	209.6
