hour	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
colle	0.016	0.016	0.016	0.016	0.016	0.033	0.131	0.033	0.016	0.016	0.016	0.016	0.131	0.033	0.016	0.016	0.016	0.033	0.131	0.164	0.033	0.033	0.033	0.016
indiv	0.016	0.016	0.016	0.016	0.016	0.033	0.131	0.033	0.016	0.016	0.016	0.016	0.131	0.033	0.016	0.016	0.016	0.033	0.131	0.164	0.033	0.033	0.033	0.016
admin	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.024	0.072	0.096	0.120	0.096	0.048	0.072	0.120	0.096	0.072	0.024	0.012	0.012	0.012	0.012	0.012	0.012
ecole	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.046	0.069	0.092	0.115	0.092	0.023	0.069	0.115	0.092	0.092	0.046	0.011	0.011	0.011	0.011	0.011	0.011
comme	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.066	0.066	0.066	0.066	0.066	0.066	0.066	0.066	0.066	0.066	0.066	0.066	0.066	0.013	0.013	0.013	0.013
resta	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.047	0.047	0.047	0.070	0.116	0.116	0.012	0.012	0.012	0.012	0.047	0.047	0.070	0.116	0.093	0.047
rasse	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.018	0.054	0.089	0.089	0.018	0.018	0.089	0.089	0.054	0.054	0.054	0.054	0.089	0.089	0.054	0.018	0.009
hopit	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.133	0.100	0.067	0.033	0.033
indus	0.020	0.020	0.020	0.020	0.020	0.020	0.020	0.020	0.061	0.102	0.102	0.082	0.041	0.061	0.102	0.082	0.061	0.020	0.020	0.020	0.020	0.020	0.020	0.020
depot	0.020	0.020	0.020	0.020	0.020	0.020	0.020	0.020	0.061	0.102	0.102	0.082	0.041	0.061	0.102	0.082	0.061	0.020	0.020	0.020	0.020	0.020	0.020	0.020
sport	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.040	0.065	0.081	0.081	0.065	0.000	0.065	0.081	0.081	0.065	0.040	0.065	0.065	0.065	0.040	0.040	0.008
pisci	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.040	0.065	0.081	0.081	0.065	0.000	0.065	0.081	0.081	0.065	0.040	0.065	0.065	0.065	0.040	0.040	0.008
