2012	2013	2014	2015	2016	2017	2018	2019	2020	mean	max	min
2	1	1	1	1	1	3	1	1	1.333333333	3	1
2	1	2	1	2	1	2	1	1	1.444444444	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	2	1	1	1	1	1.222222222	2	1
2	1	1	1	2	1	1	1	1	1.222222222	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
7	2	2	3	3	4	1	1	1	2.666666667	7	1
53	16	23	69	17	71	9	3	9	30	71	3
127	55	100	189	68	195	87	15	48	98.22222222	195	15
163	228	189	292	80	298	131	42	93	168.4444444	298	42
217	131	295	350	57	310	308	72	141	209	350	57
201	79	324	336	58	284	327	76	119	200.4444444	336	58
237	52	256	276	48	258	230	80	108	171.6666667	276	48
154	44	143	162	24	172	120	49	92	106.6666667	172	24
37	14	56	52	8	42	45	24	45	35.88888889	56	8
4	2	4	3	2	2	7	6	11	4.555555556	11	2
3	2	2	1	1	1	2	1	1	1.555555556	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	2	1	1	2	1	1	1	1	1.333333333	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	2	1	1	1	1	1.222222222	2	1
2	1	1	0	1	1	1	1	1	1	2	0
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	2	1	1	1	1	1.333333333	3	1
1	1	1	1	2	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	3	2	6	3	4	1	1	1	2.666666667	6	1
19	30	9	96	20	96	11	2	8	32.33333333	96	2
37	278	42	195	31	174	59	16	43	97.22222222	278	16
33	312	53	311	63	278	101	83	96	147.7777778	312	33
26	222	79	270	32	289	159	125	125	147.4444444	289	26
52	229	165	93	50	276	236	271	120	165.7777778	276	50
33	274	281	63	23	162	280	346	106	174.2222222	346	23
17	104	183	32	10	50	140	194	87	90.77777778	194	10
11	61	41	10	12	10	65	85	38	37	85	10
3	4	4	2	2	1	14	16	12	6.444444444	16	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
2	1	2	2	1	1	1	1	1	1.333333333	2	1
3	1	2	2	1	1	1	1	1	1.444444444	3	1
2	1	2	2	1	1	1	1	1	1.333333333	2	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
2	1	1	1	2	1	1	1	1	1.222222222	2	1
3	1	1	1	2	1	1	1	1	1.333333333	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	0	1	1	1.111111111	3	0
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	2	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
7	4	4	3	4	3	1	1	1	3.111111111	7	1
60	54	19	31	81	43	8	12	8	35.11111111	81	8
147	219	43	84	129	134	46	115	49	107.3333333	219	43
298	189	94	96	171	278	30	236	138	170	298	30
332	294	134	55	260	363	102	327	236	233.6666667	363	55
338	99	168	42	224	366	91	367	308	222.5555556	367	42
150	127	94	54	154	299	30	350	172	158.8888889	350	30
109	68	59	47	75	170	42	265	173	112	265	42
50	24	19	13	29	63	41	134	134	56.33333333	134	13
7	3	3	2	3	4	14	32	18	9.555555556	32	2
2	1	1	2	2	1	1	1	2	1.444444444	2	1
3	1	2	1	1	1	1	1	2	1.444444444	3	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
3	1	2	2	1	1	2	1	1	1.555555556	3	1
3	1	2	2	1	1	1	1	1	1.444444444	3	1
1	1	2	1	1	1	1	1	1	1.111111111	2	1
2	1	2	2	1	1	1	1	1	1.333333333	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
