Mois	min	max	mean	2014
1	268.35	282.45	275.0722222	273.65
1	268.75	281.15	275.0611111	276.55
1	268.75	281.15	274.7833333	275.75
1	268.05	281.25	274.45	275.45
1	267.05	281.45	274.1833333	275.05
1	266.85	280.95	274.0611111	274.85
1	266.35	281.15	274.2944444	274.65
1	265.95	281.35	274.3055556	274.75
1	266.25	281.65	274.4055556	275.05
1	267.35	282.65	274.9833333	275.35
1	268.95	283.85	275.8944444	276.35
1	270.85	284.75	276.7944444	278.15
1	271.85	284.95	277.2055556	279.35
1	272.75	285.55	277.5388889	280.25
1	272.05	284.95	277.3722222	280.45
1	271.65	284.25	277.0833333	279.75
1	271.15	284.45	276.7055556	277.75
1	270.25	283.55	276.2277778	276.85
1	269.55	282.45	275.8166667	276.05
1	268.65	281.75	275.6388889	275.45
1	268.65	281.25	275.5833333	275.25
1	268.25	280.85	275.3166667	274.95
1	267.95	280.55	274.9833333	274.25
1	267.55	279.85	274.6388889	274.45
1	267.15	279.75	274.5625	274.15
1	266.95	279.45	274.4	273.95
1	266.85	279.35	274.25	274.05
1	266.85	281.65	274.375	274.45
1	266.65	282.95	274.3625	274.55
1	266.95	282.45	274.425	274.55
1	267.15	282.65	274.5	275.05
1	266.85	282.25	274.325	275.15
1	267.55	282.45	274.875	277.85
1	269.65	282.35	275.6375	278.65
1	271.95	282.25	276.875	280.25
1	273.85	281.15	277.4375	280.25
1	274.95	280.95	277.9	280.95
1	275.45	281.85	278.45	281.85
1	275.35	282.25	278.2375	282.25
1	275.05	281.35	277.8375	281.35
1	274.65	279.95	277.4375	279.95
1	274.35	279.25	277.0125	279.25
1	274.35	278.95	277.05	278.95
1	274.25	278.45	276.8125	278.25
1	273.85	278.35	276.5	277.85
1	273.05	278.05	275.95	276.65
1	272.55	278.05	275.575	275.75
1	272.25	279.05	275.4625	274.65
1	271.75	280.35	275.4	274.05
1	272.15	281.95	275.275	273.85
1	271.95	283.45	275.25	273.25
1	271.55	284.35	275.0875	273.05
1	271.15	284.75	274.9875	272.95
1	270.95	285.25	274.875	273.25
1	270.25	285.25	274.775	273.35
1	269.75	285.35	274.6	273.55
1	269.35	285.25	274.675	273.85
1	269.45	285.95	275.8875	277.55
1	271.05	285.65	277.05	280.05
1	272.85	284.95	278.3125	280.65
1	273.75	282.15	278.4125	279.75
1	273.95	282.05	278.25	280.35
1	274.15	283.75	278.4375	280.85
1	273.45	284.65	278.5	280.75
1	272.45	284.05	277.85	280.55
1	272.05	283.65	277.4	281.45
1	271.35	283.25	277.325	281.25
1	270.15	283.25	277.075	280.55
1	269.55	283.95	277.175	280.15
1	268.65	284.35	277.1125	279.05
1	268.35	284.05	276.7625	278.75
1	267.95	282.65	276.325	278.25
1	268.85	282.45	276.45	277.75
1	268.25	283.35	276.6125	277.35
1	267.85	282.65	276.475	276.95
1	267.85	282.05	276.2875	277.25
1	269.95	281.95	276.7375	277.05
1	271.25	281.35	276.8375	277.45
1	271.35	280.95	276.375	277.05
1	271.45	280.85	276.575	277.25
1	271.35	281.85	276.8375	277.05
1	272.15	283.05	277.2125	277.35
1	273.45	283.75	277.9625	277.65
1	274.35	284.85	278.4875	277.85
1	274.75	284.95	278.9125	278.05
1	275.25	285.25	279.475	278.15
1	275.25	285.55	279.5	278.85
1	275.35	285.25	279.1625	279.05
1	274.75	285.05	278.575	278.95
1	273.95	285.05	278.025	278.45
1	273.65	285.25	277.7125	277.95
1	273.25	285.65	277.5375	277.85
1	272.75	284.75	277.2375	277.85
1	272.55	284.15	276.9125	277.85
1	272.45	284.35	276.875	277.75
1	271.95	284.25	276.7875	277.55
1	271.75	283.95	276.5625	277.05
1	271.25	283.25	276.275	276.55
1	271.15	283.05	276.1875	276.75
1	270.65	282.85	276.2875	277.55
1	270.15	282.95	276.175	277.75
