Mois	min	max	mean	2014
1	1	3	1.33	1
1	1	2	1.44	1
1	1	2	1.11	1
1	1	2	1.11	1
1	1	2	1.22	1
1	1	2	1.22	1
1	1	2	1.11	1
1	1	7	2.67	4
1	3	71	30.00	71
1	15	195	98.22	195
1	42	298	168.44	298
1	57	350	209.00	310
1	58	336	200.44	284
1	48	276	171.67	258
1	24	172	106.67	172
1	8	56	35.89	42
1	2	11	4.56	2
1	1	3	1.56	1
1	1	2	1.11	1
1	1	3	1.22	1
1	1	2	1.11	1
1	1	2	1.33	1
1	1	3	1.22	1
1	1	2	1.22	1
1	0	2	1.00	1
1	1	2	1.13	1
1	1	3	1.38	1
1	1	2	1.13	1
1	1	2	1.13	1
1	1	2	1.13	1
1	1	2	1.13	1
1	1	6	2.88	4
1	2	96	35.38	96
1	16	278	104.00	174
1	33	312	154.25	278
1	26	289	150.25	289
1	50	276	171.50	276
1	23	346	182.75	162
1	10	194	91.25	50
1	10	85	36.88	10
1	1	16	5.75	1
1	1	2	1.25	1
1	1	2	1.38	1
1	1	3	1.50	1
1	1	2	1.38	1
1	1	3	1.38	1
1	1	2	1.25	1
1	1	3	1.38	1
1	1	2	1.13	1
1	1	3	1.25	1
1	0	3	1.13	1
1	1	3	1.25	1
1	1	3	1.38	1
1	1	3	1.25	1
1	1	3	1.25	1
1	1	7	3.38	3
1	8	81	38.50	43
1	43	219	114.63	134
1	30	298	174.00	278
1	55	363	233.38	363
1	42	367	211.88	366
1	30	350	157.25	299
1	42	265	104.38	170
1	13	134	46.63	63
1	2	32	8.50	4
1	1	2	1.38	1
1	1	3	1.38	1
1	1	2	1.25	1
1	1	2	1.25	1
1	1	2	1.25	1
1	1	3	1.63	1
1	1	3	1.50	1
1	1	2	1.13	1
1	1	2	1.38	1
1	1	3	1.25	1
1	1	2	1.13	1
1	1	2	1.25	1
1	1	3	1.38	1
1	1	2	1.13	1
1	0	3	2.00	2
1	4	34	15.88	16
1	22	163	78.50	86
1	26	238	129.25	148
1	21	324	164.13	142
1	16	359	183.25	116
1	18	343	192.50	76
1	13	243	118.13	13
1	4	160	56.75	10
1	2	45	9.13	2
1	1	2	1.50	1
1	0	2	1.13	1
1	1	2	1.50	1
1	1	2	1.25	1
1	1	2	1.25	1
1	1	2	1.38	1
1	1	2	1.38	1
1	1	2	1.25	1
1	1	2	1.25	1
1	1	2	1.13	1
1	1	2	1.25	1
