Mois	temp
1	275.07
1	275.06
1	274.78
1	274.45
1	274.18
1	274.06
1	274.29
1	274.31
1	274.41
1	274.98
1	275.89
1	276.79
1	277.21
1	277.54
1	277.37
1	277.08
1	276.71
1	276.23
1	275.82
1	275.64
1	275.58
1	275.32
1	274.98
1	274.64
1	274.56
1	274.40
1	274.25
1	274.38
1	274.36
1	274.43
1	274.50
1	274.33
1	274.88
1	275.64
1	276.88
1	277.44
1	277.90
1	278.45
1	278.24
1	277.84
1	277.44
1	277.01
1	277.05
1	276.81
1	276.50
1	275.95
1	275.58
1	275.46
1	275.40
1	275.28
1	275.25
1	275.09
1	274.99
1	274.88
1	274.78
1	274.60
1	274.68
1	275.89
1	277.05
1	278.31
1	278.41
1	278.25
1	278.44
1	278.50
1	277.85
1	277.40
1	277.33
1	277.08
1	277.18
1	277.11
1	276.76
1	276.33
1	276.45
1	276.61
1	276.48
1	276.29
1	276.74
1	276.84
1	276.38
1	276.58
1	276.84
1	277.21
1	277.96
1	278.49
1	278.91
1	279.48
1	279.50
1	279.16
1	278.58
1	278.03
1	277.71
1	277.54
1	277.24
1	276.91
1	276.88
1	276.79
1	276.56
1	276.28
1	276.19
1	276.29
1	276.18
1	276.06
1	275.73
1	275.69
1	275.74
1	276.09
1	276.93
1	277.88
1	278.36
1	278.73
1	278.88
1	278.48
1	277.79
1	277.31
1	276.89
1	276.61
1	276.28
1	275.85
1	275.41
1	275.06
1	274.86
1	274.56
1	274.39
1	274.08
1	273.71
1	273.49
1	273.38
1	273.03
1	273.11
1	274.04
1	275.34
1	276.30
1	276.96
1	277.39
1	277.46
1	276.93
1	276.15
1	275.56
1	275.19
1	274.91
1	274.56
1	274.40
1	274.21
1	274.11
1	274.15
1	273.99
1	273.94
1	274.04
1	273.73
1	273.43
1	273.33
1	273.28
1	273.38
1	274.19
1	275.16
1	276.06
1	276.64
1	277.18
1	277.84
1	277.61
1	277.45
1	277.24
1	276.95
1	276.73
1	276.54
1	276.36
1	276.28
1	276.15
1	276.06
1	276.06
1	276.25
1	276.26
1	276.18
1	276.39
