ngen	score	chrom	TCin	PCin	xCin	mC	THin	PHin	xHin	mH	dTmin	S	P	TCout	THout
10	0	genome	301.039	782621	0.601663	3.306	207.342	853983	0.239383	39.8771	4	13.45	152	180.928	263.966
20	0	genome	264.055	804588	0.75068	3.306	339.247	761156	0.883618	25.9381	4	13.45	152	354.652	220.592
30	0	genome	301.466	386213	0.39311	3.306	256.336	801660	0.922176	95.8092	4	13.45	152	186.502	266.745
40	0	genome	349.879	249621	0.792778	3.306	337.592	853135	0.421173	85.1383	4	13.45	152	303.926	312.901
50	0	genome	315.528	430729	0.850792	3.306	343.851	956736	0.105362	62.9501	4	13.45	152	232.259	206.914
60	0	genome	306.906	968560	0.98129	3.306	234.772	966297	0.625299	47.8328	4	13.45	152	289.131	264.547
70	0	genome	365.412	896545	0.98129	3.306	200.063	790872	0.29291	26.7661	4	13.45	152	225.508	360.917
80	0	genome	350.558	840041	0.284487	3.306	364.898	418128	0.00787755	98.1596	4	13.45	152	372.905	315.89
90	0	genome	289.674	525146	0.0452466	3.306	212.813	115482	0.479975	32.7949	4	13.45	152	302.831	188.336
100	0	genome	271.927	676013	0.148515	3.306	245.129	153635	0.781203	60.0516	4	13.45	152	309.16	194.622
110	0	genome	214.593	653602	0.602976	3.306	371.482	238092	0.333484	7.89833	4	13.45	152	357.125	260.453
120	0	genome	289.436	956178	0.356681	3.306	273.328	696687	0.759477	75.583	4	13.45	152	321.188	305.12
130	0	genome	257.965	100505	0.060104	3.306	353.439	228731	0.676396	92.7016	4	13.45	152	282.062	201.807
140	0	genome	313.56	526416	0.76673	3.306	300.54	490336	0.654816	57.0324	4	13.45	152	206.252	365.741
150	0	genome	313.818	106315	0.471318	3.306	271.486	893517	0.263343	83.8941	4	13.45	152	211.79	321.384
160	0	genome	315.876	958489	0.220561	3.306	333.948	340738	0.742885	35.1343	4	13.45	152	200.192	202.697
170	0	genome	335.356	459108	0.663948	3.306	279.747	987446	0.839936	28.8739	4	13.45	152	297.502	215.725
180	0	genome	234.626	750280	0.93111	3.306	235.86	182726	0.406877	46.8774	4	13.45	152	248.562	193.659
190	0	genome	262.231	807927	0.766732	3.306	216.415	317984	0.52604	76.3309	4	13.45	152	370.454	308.522
200	0	genome	343.603	419897	0.74683	3.306	262.641	587600	0.424922	88.1076	4	13.45	152	298.964	222.624
