ngen	score	Alleles	Pin	Tin	Xin	Pout	Mflow	Nrot	Type	Speed
10	1000	genome	1.59673e+006	370.738	1	654280	0.35	50	1	0
20	1000	genome	2.11853e+006	357.721	1	580093	0.35	50	1	0
30	1000	genome	1.93661e+006	365.202	1	759092	0.35	50	1	0
40	1000	genome	1.29342e+006	359.223	1	772874	0.35	50	1	0
50	1000	genome	2.13088e+006	368.419	1	569644	0.35	50	1	0
60	1000	genome	2.05087e+006	357.464	1	633677	0.35	50	1	0
70	1000	genome	1.91969e+006	367.291	1	744577	0.35	50	1	0
80	1000	genome	1.84513e+006	371.399	1	584428	0.35	50	1	0
90	1000	genome	2.0719e+006	357.689	1	553202	0.35	50	1	0
100	1000	genome	2.10561e+006	369.573	1	760229	0.35	50	1	0
110	1000	genome	1.80639e+006	365.599	1	509932	0.35	50	1	0
120	1000	genome	1.97042e+006	364.779	1	655296	0.35	50	1	0
130	1000	genome	1.83369e+006	358.085	1	558063	0.35	50	1	0
140	1000	genome	1.99327e+006	366.111	1	660953	0.35	50	1	0
150	1000	genome	2.15089e+006	367.208	1	634740	0.35	50	1	0
160	1000	genome	1.94012e+006	365.622	1	634740	0.35	50	1	0
170	1000	genome	1.72419e+006	356.324	1	634740	0.35	50	1	0
180	1000	genome	1.34728e+006	365.552	1	667170	0.35	50	1	0
190	1000	genome	1.99955e+006	371.547	1	791320	0.35	50	1	0
200	1000	genome	1.49082e+006	364.281	1	688641	0.35	50	1	0
210	1000	genome	1.7956e+006	357.265	1	592162	0.35	50	1	0
220	1000	genome	2.17438e+006	357.265	1	685935	0.35	50	1	0
230	1000	genome	1.99925e+006	357.882	1	533663	0.35	50	1	0
240	1000	genome	1.83388e+006	364.837	1	547261	0.35	50	1	0
250	1000	genome	2.12853e+006	371.14	1	723850	0.35	50	1	0
260	1000	genome	1.38845e+006	361.102	1	535549	0.35	50	1	0
270	1000	genome	1.7639e+006	367.452	1	631578	0.35	50	1	0
280	1000	genome	1.24108e+006	367.452	1	561943	0.35	50	1	0
290	1000	genome	1.38142e+006	363.296	1	739714	0.35	50	1	0
300	1000	genome	1.83795e+006	363.799	1	621855	0.35	50	1	0
310	1000	genome	1.27634e+006	363.638	1	663154	0.35	50	1	0
320	1000	genome	2.11504e+006	360.598	1	630985	0.35	50	1	0
330	1000	genome	1.56115e+006	372.996	1	536746	0.35	50	1	0
340	1000	genome	1.44265e+006	371.612	1	549614	0.35	50	1	0
350	1000	genome	2.13278e+006	369.911	1	530883	0.35	50	1	0
360	1000	genome	2.11688e+006	361.478	1	668250	0.35	50	1	0
370	1000	genome	1.91909e+006	366.066	1	523341	0.35	50	1	0
380	1000	genome	1.93679e+006	363.234	1	709368	0.35	50	1	0
390	1000	genome	2.07571e+006	356.407	1	690526	0.35	50	1	0
400	1000	genome	1.58123e+006	368.78	1	769209	0.35	50	1	0
410	1000	genome	1.33593e+006	362.722	1	548469	0.35	50	1	0
420	1000	genome	1.46453e+006	369.703	1	761912	0.35	50	1	0
430	1000	genome	2.06528e+006	355.875	1	680557	0.35	50	1	0
440	1000	genome	1.42652e+006	372.832	1	545226	0.35	50	1	0
450	1000	genome	1.8206e+006	365.093	1	561170	0.35	50	1	0
460	1000	genome	2.04193e+006	353.835	1	755307	0.35	50	1	0
470	1000	genome	1.65013e+006	369.116	1	561797	0.35	50	1	0
480	1000	genome	1.60782e+006	372.578	1	755307	0.35	50	1	0
490	1000	genome	2.07979e+006	354.337	1	550674	0.35	50	1	0
500	1000	genome	2.1125e+006	367.632	1	620108	0.35	50	1	0
510	1000	genome	1.61909e+006	365.376	1	547176	0.35	50	1	0
520	1000	genome	1.93744e+006	356.375	1	638673	0.35	50	1	0
530	1000	genome	1.31325e+006	366.974	1	772612	0.35	50	1	0
540	1000	genome	1.82323e+006	367.178	1	797251	0.35	50	1	0
550	1000	genome	1.31764e+006	365.615	1	669001	0.35	50	1	0
560	1000	genome	1.71016e+006	362.723	1	622965	0.35	50	1	0
570	1000	genome	1.54987e+006	365.363	1	574490	0.35	50	1	0
580	1000	genome	1.66861e+006	368.186	1	681331	0.35	50	1	0
590	1000	genome	2.05966e+006	368.186	1	629886	0.35	50	1	0
600	1000	genome	1.61402e+006	360.764	1	521899	0.35	50	1	0
610	1000	genome	1.43196e+006	372.595	1	638201	0.35	50	1	0
620	1000	genome	1.67262e+006	354.262	1	579764	0.35	50	1	0
630	1000	genome	1.71323e+006	371.955	1	653022	0.35	50	1	0
640	1000	genome	1.92368e+006	367.94	1	580172	0.35	50	1	0
650	1000	genome	2.03308e+006	360.959	1	735519	0.35	50	1	0
660	1000	genome	1.71812e+006	356.068	1	639732	0.35	50	1	0
670	1000	genome	1.29945e+006	366.665	1	721447	0.35	50	1	0
680	1000	genome	1.65208e+006	371.826	1	508885	0.35	50	1	0
690	1000	genome	2.07075e+006	368.402	1	610631	0.35	50	1	0
700	1000	genome	1.46349e+006	355.68	1	778755	0.35	50	1	0
710	1000	genome	1.48245e+006	363.073	1	506392	0.35	50	1	0
720	1000	genome	1.93804e+006	364.581	1	626755	0.35	50	1	0
730	1000	genome	1.77245e+006	372.544	1	663958	0.35	50	1	0
740	1000	genome	1.56232e+006	358.405	1	563322	0.35	50	1	0
750	1000	genome	1.28408e+006	353.192	1	534663	0.35	50	1	0
760	1000	genome	1.63818e+006	367.27	1	585709	0.35	50	1	0
770	1000	genome	1.67819e+006	353.684	1	602041	0.35	50	1	0
780	1000	genome	2.01385e+006	354.739	1	501716	0.35	50	1	0
790	1000	genome	1.48032e+006	354.725	1	578874	0.35	50	1	0
800	1000	genome	1.67297e+006	361.698	1	578874	0.35	50	1	0
810	1000	genome	1.40205e+006	361.411	1	527368	0.35	50	1	0
820	1000	genome	1.64989e+006	354.911	1	567965	0.35	50	1	0
830	1000	genome	1.69854e+006	357.416	1	567965	0.35	50	1	0
840	1000	genome	2.16035e+006	372.485	1	588818	0.35	50	1	0
850	1000	genome	1.33464e+006	359.566	1	669127	0.35	50	1	0
860	1000	genome	1.96181e+006	368.157	1	520004	0.35	50	1	0
870	1000	genome	1.9471e+006	368.646	1	692740	0.35	50	1	0
880	1000	genome	1.90487e+006	372.131	1	774096	0.35	50	1	0
890	1000	genome	1.55466e+006	369.625	1	553460	0.35	50	1	0
900	1000	genome	2.09267e+006	361.241	1	796076	0.35	50	1	0
910	1000	genome	2.09125e+006	370.685	1	798303	0.35	50	1	0
920	1000	genome	1.34588e+006	361.524	1	760317	0.35	50	1	0
930	1000	genome	2.08762e+006	365.584	1	685406	0.35	50	1	0
940	1000	genome	1.76718e+006	366.225	1	656695	0.35	50	1	0
950	1000	genome	2.06891e+006	365.028	1	537129	0.35	50	1	0
960	1000	genome	1.76281e+006	357.327	1	590549	0.35	50	1	0
970	1000	genome	1.54927e+006	370.199	1	695213	0.35	50	1	0
980	1000	genome	1.37398e+006	372.83	1	712683	0.35	50	1	0
990	1000	genome	1.87655e+006	354.014	1	565455	0.35	50	1	0
1000	1000	genome	2.08226e+006	358.893	1	612328	0.35	50	1	0
1010	1000	genome	1.22143e+006	366.937	1	727322	0.35	50	1	0
1020	1000	genome	1.81252e+006	370.344	1	629993	0.35	50	1	0
1030	1000	genome	1.53068e+006	358.248	1	579994	0.35	50	1	0
1040	1000	genome	1.73695e+006	361.4	1	611836	0.35	50	1	0
1050	1000	genome	1.82367e+006	364.983	1	762403	0.35	50	1	0
1060	1000	genome	1.75112e+006	364.707	1	560135	0.35	50	1	0
1070	1000	genome	1.39997e+006	366.453	1	644802	0.35	50	1	0
1080	1000	genome	2.03615e+006	368.221	1	593534	0.35	50	1	0
1090	1000	genome	1.81228e+006	356.719	1	512492	0.35	50	1	0
